ID_Record,Address ID,Bus External ID,Legal Account ID,Address Street,City,State,Zip Code,Registered Country,Original Country
5,21440895,4ZNW09,23221837,1557 Sequoia Loop,Brookfield,South Dakota,18389,US,RUS
6,30577930,9OEI04,39847904,Sequoia Highway,Sunset Hills,Nevada,39782,US,RUS
4,56597503,9GRS09,39847904,Poplar Pl,Brookfield,Vermont,36354,US,RUS
8,23221837,4ZNW09,56643072,2174 Hickory Pl,Lakeside,New Jersey,,US,RUS
6,56643072,9OEI04,52860907,2112 Sequoia Ln,Hilltop,Pennsylvania,63970,US,RUS
2,52860907,1KTT04,52860907,8228 Sequoia Blvd,Sunset Hills,Ohio,65956,US,RUS
9,39847904,9GRS09,52860907,9446 Chestnut GardensCrescent,Sunnyvale,New York,77710,US,RUS
6,35362988,1KTT04,56643072,8566 Walnut Ave,Easton,Wisconsin,29691,US,RUS
4,19225939,1ELD05,52860907,6833 Maple Sq,Springfield,Pennsylvania,71960,US,RUS
9,54146786,9OEI04,56643072,9486 Cypress GardensCrescent,Fairview,Hawaii,22834,US,RUS
