ID_Record,Account,Branch,External ID,Business Status,Company Name,Account Type,Creation Date,Modified Date,Closed Date,Business TAG,Security Category
5,05,1ELD,5KHG06,ACTIVE,Elite Future Consulting,LBYY,1996-06-01,,,HAQ,2
6,06,5KHG,5KHG06,ACTIVE,Ultimate Ingenious Solutions,SNYM,1991-04-27,2017-04-18,1990-12-27,HAQ,4
4,04,1KTT,1KTT04,HISTORY,Global Precision Co,USAJ,2003-12-14,2019-10-27,2022-03-29,KMK,4
8,08,6UCC,6AHK02,HISTORY,Acme Advanced Co,PCMD,2020-10-11,2022-07-03,2023-06-24,TJU,0
6,06,9KZW,9KZW06,ACTIVE,Innovative Impactful Group,IQNO,2023-02-03,2024-01-26,2022-03-02,TJU,0
2,02,6AHK,5KHG06,HISTORY,Ultimate Strategic Enterprises,IQNO,2005-12-12,2019-02-27,2022-03-08,HAQ,4
9,09,4ZNW,9GRS09,CLOSED,Epic Creative Enterprises,CUHV,1990-09-17,1991-11-26,1998-10-09,HAQ,0
6,06,1GOI,1GOI06,ACTIVE,,SNYM,1998-01-09,2004-09-11,,TJU,0
4,04,9OEI,9OEI04,ACTIVE,Omega Revolutionary Enterprises,SNYM,2012-06-08,2023-07-08,,TJU,0
9,09,9GRS,9GRS09,ACTIVE,Fusion Innovative Systems,CUHV,1992-05-15,2010-07-01,,KMK,2
