ID_Record,Account,Branch,External ID,Business Status,Company Name,Account Type,Creation Date,Modified Date,Closed Date,Business TAG,Security Category,Flag Closed Date vs Modified Date,Flag Closed Date vs Creation Date,Flag Closed Date vs Status
5,5,1ELD,9KZW06,ACTIVE,Elite Future Consulting,LBYY,1996-06-01,,,HAQ,2,N,N,N
6,6,5KHG,5KHG06,ACTIVE,Ultimate Ingenious Solutions,SNYM,1991-04-27,2017-04-18,1990-12-27,HAQ,4,Y,Y,Y
4,4,1KTT,1KTT04,HISTORY,Global Precision Co,USAJ,2003-12-14,2019-10-27,2022-03-29,KMK,4,N,N,N
8,8,6UCC,9GRS09,HISTORY,Acme Advanced Co,PCMD,2020-10-11,2022-07-03,2023-06-24,TJU,0,N,N,N
6,6,9KZW,9KZW06,ACTIVE,Innovative Impactful Group,IQNO,2023-02-03,2024-01-26,2022-03-02,TJU,0,Y,Y,Y
2,2,6AHK,9KZW06,HISTORY,Ultimate Strategic Enterprises,IQNO,2005-12-12,2019-02-27,2022-03-08,HAQ,4,N,N,N
9,9,4ZNW,1ELD05,CLOSED,Epic Creative Enterprises,CUHV,1990-09-17,1991-11-26,1998-10-09,HAQ,0,N,N,N
6,6,1GOI,1GOI06,ACTIVE,,SNYM,1998-01-09,2004-09-11,,TJU,0,N,N,N
4,4,9OEI,9OEI04,ACTIVE,Omega Revolutionary Enterprises,SNYM,2012-06-08,2023-07-08,,TJU,0,N,N,N
9,9,9GRS,9GRS09,ACTIVE,Fusion Innovative Systems,CUHV,1992-05-15,2010-07-01,,KMK,2,N,N,N
