ID_Record,Legal Account,Bus External ID,Legal Firm,Legal Type,Legal Type Def,Legal Status,LE Creation Date,LE Modified Date,LE Closed Date,Legal Tax Category,IRS TIN ID,MPID,GIIN ID,FACTA ID,WCIS ID,TEFRA ID,Flag LE Closed Date vs LE Modified Date,Flag LE Closed Date vs LE Creation Date,Flag Closed Date vs Status
877,40678084,0GZC0160,Garcia & Carter Law,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",HISTORY,2006-05-31,2015-12-13,2019-03-10,M,7961240,227279,884432,455481997,16294,4960888,N,N,N
273,81909353,9JDQ0024,Quinn & Jackson Attorneys,ADVIS,Legal Advisor,ACTIVE,1990-07-19,2017-09-16,,D,5956513,610327,238842,226122626,57401,4139159,N,N,N
373,53274249,6OVI0164,,AFD,Allowance For Depreciation,ACTIVE,2021-06-08,2022-06-21,,I,1825050,329848,195397,457272085,37525,4141169,N,N,N
653,41074141,9CJW0036,Owens & Carter Associates,AFFRS,Affairs,ACTIVE,2007-04-18,2015-10-28,,G,8104528,103992,333793,597279439,86940,2563891,N,N,N
913,77919704,1HPN0073,Owens & Martin Advisors,AFFRS,Affairs,CLOSED,2022-12-23,2023-06-10,2024-01-09,M,1955890,659973,806508,518096006,72533,7039350,N,N,N
249,68701700,1QKE0066,,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",CLOSED,2005-01-16,2009-11-30,2017-04-14,I,7858130,350382,435518,571340258,81230,6733862,N,N,N
710,86210698,7FSJ0915,Carter & Zimmerman Solicitors,BANK,Bank Division,ACTIVE,2003-05-22,2005-01-07,,Ba,9511317,662354,509210,727842417,22954,8091262,N,N,N
485,46252134,0NQI0949,Anderson & Quinn Counsel,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",ACTIVE,2012-08-31,2024-01-12,,Bt,4391969,426916,214111,184760124,62145,6525656,N,N,N
786,32344168,5XOC0394,Roberts & Quinn Partners,AFF,Available Funds File,ACTIVE,1993-10-08,,,Ba,4188585,534507,923157,687148240,52404,1747243,N,N,N
994,32988815,1QFB0563,Owens & Taylor Partners,AFD,Allowance For Depreciation,ACTIVE,2005-08-30,,,Bt,2578542,753046,465034,790771784,96501,8669021,N,N,N
338,53120024,5LQL0099,Harris & Quinn Partners,TRADR,Trader credential account,ACTIVE,1990-11-13,2008-01-02,,I,9284803,707061,573229,356605562,61835,1899109,N,N,N
88,17488440,5MSU0058,Nelson & Underwood Litigators,BENE,Beneficiary credentail for investment,ACTIVE,2009-09-11,2020-11-04,,G,3327867,962784,871026,282454796,56533,2516753,N,N,N
552,30258933,9AGP0073,Jackson & Zimmerman Solicitors,CREDIT,Credit Account,ACTIVE,2016-09-09,2021-10-09,,G,4541385,231920,488763,995776986,12655,3942722,N,N,N
325,69715333,2SNM0325,,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,1991-10-11,1997-07-14,,I,8886283,660013,781366,410922280,45733,6126695,N,N,N
230,82336394,8ETD0405,Roberts & Davis Partners,CREDIT,Credit Account,ACTIVE,1994-09-04,2012-01-18,,M,3812775,422084,254556,895880545,97257,7983972,N,N,N
693,68571659,4KXU0325,Garcia & Underwood Defenders,BANK,Bank Division,HISTORY,2000-01-10,2014-05-27,2020-10-25,Bt,1080991,415631,682731,597448989,53089,9006981,N,N,N
571,38991079,5DYL0914,Taylor & Fisher Prosecutors,AFFRS,Affairs,ACTIVE,2004-09-22,,,I,6752110,804253,298722,142469459,51608,8946439,N,N,N
88,66547407,6DKP0312,,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2003-11-27,2016-05-18,,N,8891407,585843,393571,656510958,21709,2381336,N,N,N
953,20780939,1RYU0553,Harris & King Counselors,AFD,Allowance For Depreciation,ACTIVE,2013-03-04,2014-05-05,,Ba,7544528,346834,866713,973421544,48386,5014373,N,N,N
157,79051114,2MZP0177,,BANK,Bank Division,HISTORY,2003-04-21,,2009-08-21,M,5587971,375941,296512,561972933,20455,1601549,N,N,N
356,48100808,1AMH0810,Nelson & Jackson Consultants,AG,Agriculture,ACTIVE,1998-04-30,2007-09-20,,I,6268166,522421,925360,120882100,40119,5863262,N,N,N
846,26403213,7COG0915,Jackson & Davis Counselors,CORP,Corporation Division,CLOSED,1999-01-14,2019-08-10,2020-04-05,M,4135358,939177,524076,361024099,74602,2593447,N,N,N
101,87482300,0GYN0848,Parker & Carter Defenders,AFF,Available Funds File,ACTIVE,1990-07-24,2012-07-25,,Ba,8443475,623570,614838,393759106,46020,2766987,N,N,N
356,64715863,5DLZ0725,Garcia & Martin Prosecutors,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2007-08-26,,,I,5538806,842690,412554,610851313,56596,8587817,N,N,N
328,62076593,1VZV0372,Underwood & Martin Counselors,ADVIS,Legal Advisor,ACTIVE,1995-03-30,2004-09-25,,Bt,9872703,239222,861593,825758141,54533,8618957,N,N,N
228,53456759,4OKJ0493,Nelson & Zimmerman Law,TRADR,Trader credential account,HISTORY,2019-06-23,2020-02-26,2020-09-07,I,4235291,703460,749108,871597657,94733,1053234,N,N,N
194,80188763,0ZNH0338,Williams & Taylor Law,AG,Agriculture,HISTORY,2015-03-08,2020-09-24,2023-10-24,Bt,4084651,386062,465129,426217053,51544,8456151,N,N,N
71,14628418,5WKS0943,Carter & Williams Advisors,AFF,Available Funds File,CLOSED,2022-03-19,,2024-01-21,Ba,7558120,985259,651501,125769522,34138,5721738,N,N,N
996,10263833,6PKV0559,Zimmerman & Quinn Solicitors,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,2017-09-05,,,N,3755861,405461,442072,423210366,55778,5134535,N,N,N
886,16538415,8POP0632,Lewis & Carter Consultants,BANK,Bank Division,CLOSED,2019-08-15,2021-08-24,2022-05-15,Bt,4305507,784754,628828,563552248,17889,1549322,N,N,N
337,19147842,3IFB0971,Parker & Roberts Legal,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",HISTORY,2000-07-14,2005-06-17,2018-08-07,D,5171987,928846,493780,493320950,30498,4300126,N,N,N
619,57833378,1PRY0699,Smith & Zimmerman Barristers,AFFRS,Affairs,CLOSED,1999-01-10,2018-10-28,2021-07-09,N,1744650,800354,724926,181420650,55650,3821266,N,N,N
