ID_Record,Account,Branch,External ID,Business Status,Company Name,Account Type,Creation Date,Modified Date,Closed Date,Business TAG,Security Category,Flag Closed Date vs Modified Date,Flag Closed Date vs Creation Date,Flag Closed Date vs Status
877,877,4QKH,4QKH0877,CLOSED,,GLKB,2001-03-24,2007-11-09,2022-09-10,ZKV,2,N,N,N
273,273,0NSI,0NSI0273,ACTIVE,Epic Creative Networks,YAKT,1991-12-17,,,TXS,5,N,N,N
373,373,2SRB,9NKO0444,ACTIVE,Proactive Power Solutions,VCKM,2006-10-18,2010-01-04,,ZKV,3,N,N,N
653,653,2NRN,2NRN0653,ACTIVE,Infinite Global Industries,GLKB,2011-07-22,2011-08-26,,XRA,1,N,N,N
913,913,3NCQ,3NCQ0913,HISTORY,Excellent Synergy Group,YAKT,2005-04-04,2006-09-28,2021-05-07,TXS,3,N,N,N
249,249,4BSY,4BSY0249,ACTIVE,Omega Digital Labs,VBCW,2000-06-01,2014-06-30,,ZKV,4,N,N,N
710,710,0MXY,8XJR0126,ACTIVE,Acme Forward Services,VBCW,1997-12-11,2002-06-08,,ZKV,4,N,N,N
485,485,4XQB,4XQB0485,ACTIVE,Excellent Sustainable Enterprises,UANS,1998-11-02,2018-09-08,,ZKV,3,N,N,N
786,786,0BCQ,8XBE0600,CLOSED,Prime Transformative Consulting,HAYQ,2005-03-10,2010-09-29,2020-04-07,ZKV,2,N,N,N
994,994,3FRM,3FRM0994,ACTIVE,,UANS,2011-09-28,2013-12-18,,XRA,5,N,N,N
338,338,0ZNH,5ZNO0878,ACTIVE,Epic Digital Enterprises,HAYQ,1999-02-06,2000-01-14,,TXS,0,N,N,N
88,88,8NXE,8NXE0088,ACTIVE,Proactive Sustainable Dynamics,HERA,2011-01-23,2023-04-07,,TXS,0,N,N,N
552,552,3GSL,3GSL0552,HISTORY,,GLKB,2008-12-13,2011-05-07,2023-06-10,XRA,1,N,N,N
325,325,2SNM,2SNM0325,ACTIVE,Ultimate Visionary Solutions,VBCW,1991-06-17,1994-08-03,,XRA,0,N,N,N
230,230,8GBC,8GBC0230,ACTIVE,,VCKM,1998-02-01,2003-02-19,,TXS,5,N,N,N
693,693,8QEP,8QEP0693,ACTIVE,Elite Creative Solutions,VCKM,1997-04-07,2011-03-13,,TXS,3,N,N,N
571,571,4RSX,4RSX0571,HISTORY,Excellent Smart Solutions,HAYQ,2000-11-20,2010-08-20,1996-12-25,ZKV,4,Y,Y,N
